_id,company_address,company_name,name,salary,site_scraping,vacancy_link
5f5b8ff75007de8d97a4ee39,"Киров, Первомайский район, улица Урицкого, 24",Айтивебнет,Системный администратор,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/sistemnyj-administrator-34438678.html
5f5b8ffa5007de8d97a4ee3b,"Ленинградская область, Тосненский район, Фёдоровское городское поселение, городской посёлок Фёдоровское, Шоссейная улица, 2Г",УК Грандо,Программист 1C,100000  руб.,superjob.ru,https://russia.superjob.ru/vakansii/programmist-1c-34247578.html
5f5b8fff5007de8d97a4ee3e,"Москва, Зеленоград, Каштановая аллея 4",Медицинский колледж № 7,Программист,от  30000руб.,superjob.ru,https://russia.superjob.ru/vakansii/programmist-34373450.html
5f5b90015007de8d97a4ee3f,"Санкт-Петербург, Курортный район, посёлок Песочный, Ленинградская улица, 68","ФБГУ ""НМИЦ онкологии им. Н. Н. Петрова"" Минздрава России",Инженер-программист,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/inzhener-programmist-33865766.html
5f5b90055007de8d97a4ee42,Первомайская,БИФИТ,Программист C++,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/programmist-c-34403007.html
5f5b900a5007de8d97a4ee44,"Челябинская область, Озерск",Астра Студио,Full-stack Web Developer,от  50000руб.,superjob.ru,https://russia.superjob.ru/vakansii/full-stack-web-developer-34373700.html
5f5b900d5007de8d97a4ee46,"Москва, Ореховый бульвар, д. 49к1","ГБУЗ ""ДЦЛИ ДЗМ""","Системный администратор, IT-специалист, программист",90000  —  100000  руб.,superjob.ru,https://russia.superjob.ru/vakansii/sistemnyj-administrator-33845400.html
5f5b90105007de8d97a4ee48,"Москва, Островная улица, 2","Дом Фарфора и ""Williams Et Oliver"" — домашняя утварь",Веб-разработчик / Веб-программист,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/veb-razrabotchik-34446777.html
5f5b90145007de8d97a4ee4a,"Тверь, бульвар Шмидта, 18","НИЦ ""Резонанс""",Программист С++,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/programmist-s-34432437.html
5f5b90185007de8d97a4ee4c,Чернышевская,Смарт-телеком,Ведущий специалист по разработке VoIP решений,80000  —  86000  руб.,superjob.ru,https://russia.superjob.ru/vakansii/veduschij-specialist-po-razrabotke-voip-reshenij-34374105.html
5f5b901c5007de8d97a4ee4e,Бухарестская,Группа Управляющих компаний,Инженер сети передачи данных,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/inzhener-seti-peredachi-dannyh-33838909.html
5f5b901d5007de8d97a4ee50,Выборгская,ГАРАНТ,Системный администратор,до  35000руб.,superjob.ru,https://russia.superjob.ru/vakansii/sistemnyj-administrator-34374429.html
5f5b90225007de8d97a4ee52,Москва,Директ Кредит,Системный администратор,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/sistemnyj-administrator-34169200.html
_id,company_address,company_name,name,salary,site_scraping,vacancy_link
5f5b8fb95007de8d97a4ee17,Балашиха,ООО  Север Авто М,Backend-разработчик (Python),от  150000   руб.  на руки,hh.ru,https://hh.ru/vacancy/38525315?query=Python
5f5b8fbd5007de8d97a4ee1a,Зеленоград,CQG,Senior Software Developer C++,з/п не указана,hh.ru,https://hh.ru/vacancy/34789293?query=Python
5f5b8fc15007de8d97a4ee1c,Дубна,ООО  ТАРИС,Программист Qt / C++,з/п не указана,hh.ru,https://hh.ru/vacancy/38735122?query=Python
5f5b8fc55007de8d97a4ee1e,Жуковский,X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38460616?query=Python
5f5b8fca5007de8d97a4ee20,Красногорск,X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38460651?query=Python
5f5b8fcd5007de8d97a4ee22,Щелково,X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38460628?query=Python
5f5b8fd05007de8d97a4ee24,Реутов,X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38460617?query=Python
5f5b8fd45007de8d97a4ee26,Сергиев Посад,X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38460603?query=Python
5f5b8fd75007de8d97a4ee28,Ногинск,X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38460608?query=Python
5f5b8fda5007de8d97a4ee2a,Пушкино (Московская область),X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38460615?query=Python
5f5b8fdd5007de8d97a4ee2c,Серпухов,X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38460629?query=Python
5f5b8fe25007de8d97a4ee2e,Орехово-Зуево,X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38460624?query=Python
5f5b8fe45007de8d97a4ee2f,Балашиха,X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38461979?query=Python
5f5b8fe85007de8d97a4ee31,Электросталь,X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38460643?query=Python
5f5b8feb5007de8d97a4ee33,Коломна,X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38460638?query=Python
5f5b8fef5007de8d97a4ee36,Щелково,"ООО  АНТРАКС, МНПП",Инженер – программист / Специалист по нейросетям,з/п не указана,hh.ru,https://hh.ru/vacancy/38972208?query=Python
5f5b8ff35007de8d97a4ee38,Фрязино,"ООО  АНТРАКС, МНПП",Инженер – программист / Специалист по нейросетям,з/п не указана,hh.ru,https://hh.ru/vacancy/38972207?query=Python
5f5b8ff75007de8d97a4ee3a,Королев,"ООО  АНТРАКС, МНПП",Инженер – программист / Специалист по нейросетям,з/п не указана,hh.ru,https://hh.ru/vacancy/38972211?query=Python
